거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2021-12-20,청담동,102-13,청담파라곤Ⅱ2단지,149.74,4,320000,2010,,서울 강남구,,,,,11680-3881,102,13,,,중개거래,1,N,,선릉로190길,68,0,4166482,1,11680,0.0,11680,10400,서울 강남구,11680
2021-12-18,신흥동,6951,산성역포레스티아,74.98,16,128000,2020,,경기 성남수정구 서울 송파구,,,,,41131-1652,6951,0,,,중개거래,1,N,,수정로,319,0,3178018,1,41131,0.0,41131,10100,성남시 수정구,41131
2021-12-18,청계동,536,시범반도유보라아이비파크4.0,84.9705,5,100000,2018,,경기 화성시,,,,,41590-1673,536,0,,,중개거래,1,N,,동탄대로시범길,134,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-12-18,반송동,80,동탄시범다은마을 월드메르디앙 반도유보라,84.65,20,85000,2007,,경기 화성시,,,,,41590-973,80,0,,,중개거래,1,N,,동탄중앙로,189,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-12-18,영천동,716,동탄역반도유보라아이비파크2.0,84.9921,16,74800,2016,,경기 화성시,,,,,41590-1438,716,0,,,중개거래,1,N,,동탄순환대로26길,55,0,4852383,1,41590,,41597,10600,화성시,41597
2021-12-17,잠실동,44,레이크팰리스,116.19,20,270000,2006,,서울 송파구,,,,,11710-5957,44,0,,,중개거래,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-12-15,대치동,1027,래미안대치팰리스,94.49,25,405000,2015,,서울 강남구,,,,,11680-4394,1027,0,,,중개거래,1,N,,삼성로51길,37,0,4166413,0,11680,,11680,10600,서울 강남구,11680
2021-12-15,도곡동,527,도곡렉슬,134.9023,13,435000,2006,,,,,,,11680-3623,527,0,,,직거래,1,N,,선릉로,221,0,3122006,8,11680,0.0,11680,11800,서울 강남구,11680
2021-12-14,청계동,533,동탄역시범반도유보라아이비파크1.0,84.9885,20,98000,2015,,경기 화성시,,,,,41590-1425,533,0,,,중개거래,1,N,,동탄대로시범길,168,0,4852353,0,41590,,41597,10500,화성시,41597
2021-12-14,대치동,1027,래미안대치팰리스,94.49,4,375000,2015,,서울 강남구,,,,,11680-4394,1027,0,,,중개거래,1,N,,삼성로51길,37,0,4166413,0,11680,,11680,10600,서울 강남구,11680
2021-12-11,반송동,79,시범다은마을우남퍼스트빌,67.0661,2,61100,2007,,경기 화성시,,,,,41590-966,79,0,,,중개거래,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-12-11,반송동,79,시범다은마을우남퍼스트빌,84.4275,18,71000,2007,,경기 화성시,,,,,41590-966,79,0,,,중개거래,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-12-10,장지동,1009,레이크반도유보라아이비파크9.0,101.998,11,74000,2017,,경기 화성시,,,,,41590-1719,1009,0,,,중개거래,1,N,,동탄대로4길,95,0,4852335,0,41590,0.0,41597,11100,화성시,41597
2021-12-08,영천동,716,동탄역반도유보라아이비파크2.0,84.9921,1,68000,2016,,경기 화성시,,,,,41590-1438,716,0,,,중개거래,1,N,,동탄순환대로26길,55,0,4852383,1,41590,,41597,10600,화성시,41597
2021-12-07,대치동,1027,래미안대치팰리스,91.89,18,330000,2015,,서울 강남구,,,,,11680-4394,1027,0,,,중개거래,1,N,,삼성로51길,35,0,4166413,1,11680,0.0,11680,10600,서울 강남구,11680
2021-12-07,반송동,106-1,동탄파라곤II,162.62,37,122000,2010,,경기 화성시,,,,,41590-1132,106,1,,,중개거래,1,N,,메타폴리스로,54,0,3210037,1,41590,0.0,41597,10200,화성시,41597
2021-12-07,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,10,59500,2018,,경기 화성시,,,,,41590-1763,744,0,,,중개거래,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-12-06,오산동,973,동탄역 반도유보라 아이비파크 8.0,86.2318,27,139000,2018,,경기 화성시,,,,,41590-1791,973,0,,,중개거래,1,N,,동탄광역환승로,73,1,3350554,0,41590,0.0,41597,10400,화성시,41597
2021-12-05,오산동,971,동탄역반도유보라아이비파크7.0,73.4311,45,100550,2019,,경기 화성시,,,,,41590-1820,971,0,,,중개거래,1,N,,동탄광역환승로,63,0,3350554,1,41590,,41597,10400,화성시,41597
