지역,지역코드,거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd
성남시 수정구,41131,2026-08-04,신흥동,6951,산성역포레스티아,74.98,2,148000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-04,신흥동,6971,산성역자이푸르지오3단지,59.98,16,136000,2024,,경기 성남시 수정구,,개인,개인,,41131-1713,6971,0000,,,중개거래,1,N,,희망로,00531,00000,3179026,00,41131,,41131,10100
성남시 수정구,41131,2026-08-03,단대동,100,단대푸르지오,114.89,15,135000,2012,,서울 송파구,,개인,개인,,41131-1446,0100,0000,,,중개거래,1,N,,산성대로437번길,00007,00000,4334226,01,41131,0,41131,10400
성남시 수정구,41131,2026-08-03,신흥동,6951,산성역포레스티아,98.68,12,159500,2020,,경기 성남시 수정구,,개인,개인,124,41131-1652,6951,0000,,,중개거래,1,N,26.08.20,수정로,00319,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-01,신흥동,6963,산성역자이푸르지오2단지,74.96,1,139000,2024,,"경기 성남시 수정구, 서울 송파구",,개인,개인,,41131-1711,6963,0000,,,중개거래,1,N,,수정로,00288,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-08-01,창곡동,530,위례아트리버푸르지오1단지,104.7692,10,218000,2016,,경기 성남시 수정구,,개인,개인,,41131-1553,0530,0000,,,중개거래,1,N,,위례광장로,00070,00000,3000238,01,41131,0,41131,10800
성남시 수정구,41131,2026-08-01,신흥동,6961,산성역자이푸르지오1단지,59.97,1,126500,2024,,경기 성남시 수정구,,개인,개인,,41131-1710,6961,0000,,,중개거래,1,N,,수정로,00260,00000,3178018,01,41131,0,41131,10100
성남시 수정구,41131,2026-07-31,수진동,4663,삼부,59.76,9,83500,1996,,경기 성남시 수정구,,개인,개인,,41131-13,4663,0000,,,중개거래,1,N,,모란로,00065,00000,3178010,02,41131,0,41131,10300
성남시 수정구,41131,2026-07-31,수진동,4663,삼부,84.96,2,96500,1996,,경기 성남시 수정구,,개인,개인,,41131-13,4663,0000,,,중개거래,1,N,,모란로,00065,00000,3178010,02,41131,0,41131,10300
성남시 수정구,41131,2026-07-30,신흥동,6951,산성역포레스티아,74.96,1,150000,2020,,경기 성남시 수정구,,개인,개인,,41131-1652,6951,0000,,,중개거래,1,N,,수정로,00319,00000,3178018,01,41131,0,41131,10100
